Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,abs,493392853,6329.980092,7968332,102.2296586,1157995,6165833,79.10451054,23607,0.302865838,3930
United States of America,Americas,79501007,24018.239,207355,62.645,35049,975540,294.723,3657,1.105,610
India,South-East Asia,43031958,3118.248,7518,0.545,1033,521530,37.792,401,0.029,43
Brazil,Americas,30040129,14132.58,157732,74.206,27331,660528,310.75,1287,0.605,216
France,Europe,25623682,39397.193,926709,1424.843,161950,139706,214.802,755,1.161,128
Germany,Europe,22265788,26772.476,1161279,1396.327,201729,131036,157.558,1645,1.978,328
The United Kingdom,Europe,21461560,31614.116,334735,493.084,31286,169095,249.087,1109,1.634,49
Russian Federation,Europe,17955120,12303.551,112195,76.88,14355,370889,254.148,2167,1.485,287
Italy,Europe,15035943,25210.543,467953,784.61,69885,160253,268.694,1029,1.725,150
Turkey,Europe,14929905,17702.241,83681,99.22,10314,98275,116.524,298,0.353,41
Republic of Korea,Western Pacific,14778405,28825.122,1682860,3282.401,224820,18381,35.852,2151,4.196,719
Spain,Europe,11578653,24462.315,36554,77.228,0,102747,217.074,196,0.414,0
Viet Nam,Western Pacific,9980464,10253.349,508210,522.105,58424,42712,43.88,258,0.265,70
Argentina,Americas,9045326,20013.654,10199,22.566,2228,128106,283.447,109,0.241,20
Netherlands,Europe,7948131,45659.01,114479,657.639,13054,22058,126.715,101,0.58,21
Iran (Islamic Republic of),Eastern Mediterranean,7180008,8548.346,20275,24.139,4228,140451,167.218,293,0.349,44
Japan,Western Pacific,6832377,5402.094,327504,258.945,54142,28456,22.499,446,0.353,129
Colombia,Americas,6086484,11961.75,2244,4.41,251,139678,274.509,83,0.163,8
Indonesia,South-East Asia,6028413,2203.983,15595,5.702,2089,155509,56.854,420,0.154,45
Poland,Europe,5975040,15741.13,12109,31.901,1483,115536,304.377,363,0.956,64
Mexico,Americas,5671144,4398.529,3316,2.572,1,323318,250.765,55,0.043,0
Ukraine,Europe,4980224,11387.596,13424,30.695,2226,108098,247.173,141,0.322,22
Australia,Western Pacific,4658977,18270.581,391764,1536.336,63203,6462,25.341,500,1.961,64
Malaysia,Western Pacific,4280591,13225.58,97232,300.414,12105,35192,108.731,253,0.782,65
Austria,Europe,3982206,44738.539,130386,1464.836,20279,15958,179.282,192,2.157,15
Israel,Europe,3977111,45948.728,67660,781.696,8050,10555,121.945,26,0.3,0
Belgium,Europe,3881523,33686.641,26569,230.585,0,30908,268.242,79,0.686,0
Czechia,Europe,3850902,36010.136,35248,329.607,5287,39816,372.323,124,1.16,9
Thailand,South-East Asia,3807908,5455.457,179561,257.251,26081,25788,36.946,658,0.943,91
South Africa,Africa,3727208,6284.421,10141,17.099,2031,100070,168.727,50,0.084,3
Philippines,Western Pacific,3680244,3358.467,2326,2.123,265,59422,54.227,297,0.271,57
Portugal,Europe,3648634,35437.706,60341,586.068,10360,21827,211.997,130,1.263,12
Peru,Americas,3549028,10763.811,2945,8.932,311,212372,644.101,193,0.585,18
Canada,Americas,3521498,9330.411,50646,134.189,7506,37772,100.079,200,0.53,42
Switzerland,Europe,3512106,40580.717,27768,320.846,0,13031,150.567,15,0.173,0
Chile,Americas,3495889,18287.572,31464,164.593,3927,56822,297.245,355,1.857,13
Greece,Europe,3126856,29172.338,118060,1101.453,12265,27892,260.221,429,4.002,76
Denmark,Europe,3075548,52819.392,20706,355.604,3214,5813,99.832,124,2.13,15
Romania,Europe,2866793,14831.688,16195,83.787,2320,65147,337.046,153,0.792,18
Sweden,Europe,2487852,24089.378,1069,10.351,0,18365,177.825,1,0.01,0
Iraq,Eastern Mediterranean,2321095,5770.639,1886,4.689,289,25179,62.599,16,0.04,1
Serbia,Europe,1985085,28658.431,10433,150.62,1351,15850,228.825,62,0.895,8
Bangladesh,South-East Asia,1951911,1185.208,334,0.203,44,29123,17.684,1,0.001,0
Hungary,Europe,1865607,19096.187,13736,140.6,2568,45684,467.617,214,2.19,37
Slovakia,Europe,1741695,31911.607,30811,564.524,4380,19500,357.282,148,2.712,18
Jordan,Eastern Mediterranean,1694216,16604.859,1731,16.965,0,14048,137.683,17,0.167,0
Georgia,Europe,1650708,41379.684,2462,61.717,324,16765,420.262,20,0.501,0
Pakistan,Eastern Mediterranean,1525923,690.799,1374,0.622,148,30361,13.745,12,0.005,0
Ireland,Europe,1481171,29835.611,27048,544.835,4076,6824,137.458,59,1.188,5
Norway,Europe,1411547,26297.643,5989,111.577,0,2667,49.687,149,2.776,0
Kazakhstan,Europe,1393984,7424.007,198,1.054,30,19013,101.258,2,0.011,0
Morocco,Eastern Mediterranean,1163726,3152.827,512,1.387,70,16061,43.513,1,0.003,0
Bulgaria,Europe,1143424,16448.636,5644,81.191,726,36655,527.298,143,2.057,19
Singapore,Western Pacific,1123886,19210.603,33063,565.146,4467,1287,21.999,24,0.41,13
Croatia,Europe,1105315,27236.818,7906,194.817,1653,15646,385.544,83,2.045,12
Cuba,Americas,1094352,9661.774,4900,43.261,676,8517,75.195,7,0.062,1
Lebanon,Eastern Mediterranean,1093850,16026.061,2073,30.372,299,10326,151.287,30,0.44,3
Lithuania,Europe,1037422,37129.155,12478,446.585,1624,8944,320.104,61,2.183,6
Tunisia,Eastern Mediterranean,1037358,8777.32,1474,12.472,0,28425,240.51,102,0.863,0
Slovenia,Europe,980451,46780.345,14963,713.931,2280,7437,354.842,8,0.382,0
Nepal,South-East Asia,978545,3358.45,119,0.408,7,11951,41.017,0,0,0
Belarus,Europe,966818,10231.613,5429,57.454,870,6862,72.619,52,0.55,9
China,Western Pacific,932165,63.357,27367,1.86,3171,13951,0.948,754,0.051,198
Finland,Europe,920692,16663.228,30758,556.676,2818,3334,60.341,8,0.145,0
Mongolia,Western Pacific,919784,28056.822,596,18.18,72,2108,64.302,0,0,0
Bolivia (Plurinational State of),Americas,902749,7733.636,806,6.905,144,21897,187.586,3,0.026,0
United Arab Emirates,Eastern Mediterranean,892929,9028.238,1942,19.635,215,2302,23.275,0,0,0
Uruguay,Americas,890980,25649.086,5000,143.937,840,7171,206.435,15,0.432,2
Ecuador,Americas,862321,4887.595,2431,13.779,0,35449,200.923,28,0.159,0
Costa Rica,Americas,841343,16515.97,4257,83.567,685,8327,163.463,39,0.766,7
Guatemala,Americas,832159,4644.893,6098,34.037,1010,17338,96.776,43,0.24,9
Latvia,Europe,805353,42216.468,8463,443.629,1065,5652,296.277,59,3.093,10
Azerbaijan,Europe,792141,7812.677,265,2.614,38,9701,95.678,10,0.099,1
Panama,Americas,765677,17745.501,1744,40.419,340,8172,189.396,4,0.093,0
Saudi Arabia,Eastern Mediterranean,751404,2158.347,697,2.002,108,9053,26.004,10,0.029,3
New Zealand,Western Pacific,740430,15354.505,82700,1714.973,11666,426,8.834,127,2.634,40
Sri Lanka,South-East Asia,662342,3093.141,711,3.32,0,16486,76.99,9,0.042,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,656287,12864.806,537,10.526,0,5655,110.852,0,0,0
Paraguay,Americas,648353,9090.074,448,6.281,0,18731,262.613,67,0.939,0
Kuwait,Eastern Mediterranean,629525,14741.003,384,8.992,0,2554,59.805,0,0,0
Myanmar,South-East Asia,612079,1124.943,492,0.904,0,19434,35.718,4,0.007,0
Dominican Republic,Americas,578319,5331.156,299,2.756,0,4375,40.33,0,0,0
Estonia,Europe,562114,42296.776,5812,437.329,886,2481,186.685,26,1.956,2
Bahrain,Eastern Mediterranean,558007,32793.559,4257,250.18,620,1472,86.508,2,0.118,0
Venezuela (Bolivarian Republic of),Americas,521030,1832.294,726,2.553,125,5688,20.003,7,0.025,1
Republic of Moldova,Europe,514882,12763.677,1440,35.697,232,11455,283.964,24,0.595,2
Egypt,Eastern Mediterranean,509177,497.562,3913,3.824,0,24473,23.915,56,0.055,0
Libya,Eastern Mediterranean,501738,7301.946,81,1.179,0,6419,93.418,6,0.087,0
Puerto Rico,Americas,483172,16889.089,3091,108.045,582,4171,145.796,5,0.175,0
Ethiopia,Africa,469916,408.752,212,0.184,37,7508,6.531,16,0.014,0
Cyprus,Europe,449715,50643.296,23500,2646.381,2716,950,106.981,17,1.914,1
Armenia,Europe,422629,14262.424,110,3.712,19,8619,290.865,6,0.202,0
Honduras,Americas,421170,4252.264,157,1.585,0,10885,109.898,5,0.05,0
Oman,Eastern Mediterranean,388571,7609.153,292,5.718,35,4253,83.284,3,0.059,1
Bosnia and Herzegovina,Europe,375948,11458.982,616,18.776,99,15728,479.393,18,0.549,1
Qatar,Eastern Mediterranean,362273,12574.326,990,34.362,123,677,23.498,0,0,0
Réunion,Africa,347941,38862.542,10996,1228.175,0,720,80.419,11,1.229,0
Kenya,Africa,323497,601.617,95,0.177,18,5648,10.504,0,0,0
Zambia,Africa,317358,1726.277,808,4.395,137,3967,21.579,1,0.005,0
North Macedonia,Europe,307142,14742.486,1425,68.398,195,9234,443.222,14,0.672,3
Albania,Europe,274055,9523.073,447,15.533,55,3492,121.343,0,0,0
Algeria,Africa,265705,605.926,43,0.098,6,6874,15.676,0,0,0
Botswana,Africa,263950,11224.144,0,0,0,2619,111.37,0,0,0
Nigeria,Africa,255516,123.953,101,0.049,0,3142,1.524,0,0,0
Zimbabwe,Africa,246803,1660.528,621,4.178,59,5453,36.689,13,0.087,2
Uzbekistan,Europe,237967,711.003,218,0.651,35,1637,4.891,0,0,0
Montenegro,Europe,233518,37180.724,502,79.928,69,2706,430.849,6,0.955,0
Kosovo[1],Europe,227585,12674.128,189,10.525,29,3127,174.142,5,0.278,0
Mozambique,Africa,225272,720.745,23,0.074,4,2200,7.039,0,0,0
Luxembourg,Europe,221555,35386.068,7456,1190.849,1521,1042,166.425,6,0.958,0
Mauritius,Africa,214860,16894.591,1970,154.902,0,985,77.451,17,1.337,0
Kyrgyzstan,Europe,200968,3080.351,33,0.506,0,2991,45.845,3,0.046,0
Lao People's Democratic Republic,Western Pacific,188985,2597.532,14849,204.094,2115,684,9.401,20,0.275,2
Iceland,Europe,182633,50155.437,1683,462.192,0,102,28.012,4,1.098,0
Afghanistan,Eastern Mediterranean,177974,457.184,280,0.719,42,7671,19.705,6,0.015,0
Maldives,South-East Asia,177665,32867.815,137,25.345,0,298,55.13,0,0,0
Uganda,Africa,163908,358.339,67,0.146,18,3596,7.862,0,0,0
El Salvador,Americas,161570,2490.979,518,7.986,0,4121,63.535,3,0.046,0
Ghana,Africa,161034,518.245,109,0.351,20,1445,4.65,0,0,0
Namibia,Africa,157806,6210.622,184,7.242,42,4020,158.211,1,0.039,0
Martinique,Americas,146992,39170.186,2678,713.629,0,918,244.627,5,1.332,0
Guadeloupe,Americas,139516,34868.191,3535,883.476,0,938,234.427,7,1.749,0
Trinidad and Tobago,Americas,139114,9940.35,1618,115.614,321,3766,269.098,25,1.786,3
Brunei Darussalam,Western Pacific,137239,31370.42,3513,803.01,418,156,35.659,3,0.686,1
Cambodia,Western Pacific,135834,812.455,249,1.489,22,3055,18.273,1,0.006,1
Rwanda,Africa,129742,1001.697,24,0.185,4,1459,11.264,0,0,0
Jamaica,Americas,128924,4353.824,189,6.383,55,2899,97.901,15,0.507,2
Cameroon,Africa,119544,450.33,0,0,0,1927,7.259,0,0,0
Angola,Africa,99194,301.811,56,0.17,0,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,86748,96.859,0,0,0,1337,1.493,0,0,0
Senegal,Africa,85931,513.207,45,0.269,7,1965,11.736,1,0.006,0
Malawi,Africa,85676,447.863,45,0.235,9,2627,13.732,1,0.005,1
Malta,Europe,83667,16259.785,4888,949.93,822,650,126.321,12,2.332,1
Côte d’Ivoire,Africa,81780,310.028,58,0.22,0,796,3.018,0,0,0
Suriname,Americas,79241,13507.787,53,9.035,5,1325,225.866,1,0.17,0
French Guiana,Americas,79075,26474.645,396,132.582,0,394,131.913,0,0,0
French Polynesia,Western Pacific,72473,25799.55,155,55.178,0,648,230.681,2,0.712,0
Eswatini,Africa,69927,6027.338,204,17.584,30,1395,120.242,1,0.086,0
Fiji,Western Pacific,64471,7191.852,67,7.474,10,834,93.034,0,0,0
Madagascar,Africa,64050,231.302,41,0.148,0,1388,5.012,4,0.014,0
Guyana,Americas,63283,8045.622,44,5.594,10,1226,155.87,0,0,0
Sudan,Eastern Mediterranean,61987,141.364,32,0.073,0,4907,11.191,0,0,0
Barbados,Americas,60592,21084.645,1730,602.001,0,375,130.492,44,15.311,0
New Caledonia,Western Pacific,60492,21188.239,94,32.925,11,312,109.283,1,0.35,1
Mauritania,Africa,58710,1262.674,42,0.903,0,982,21.12,0,0,0
Belize,Americas,57318,14414.981,65,16.347,15,656,164.978,2,0.503,0
Cabo Verde,Africa,55963,10065.523,13,2.338,2,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55727,318.428,39,0.223,4,3145,17.971,5,0.029,0
Gabon,Africa,47588,2138.081,4,0.18,0,303,13.613,0,0,0
Jersey,Europe,47561,44121.303,1158,1074.251,194,121,112.249,1,0.928,1
Papua New Guinea,Western Pacific,43424,485.346,87,0.972,0,643,7.187,1,0.011,0
Seychelles,Africa,40840,41526.432,539,548.059,41,163,165.74,0,0,0
Curaçao,Americas,40802,24865.168,456,277.891,0,267,162.713,0,0,0
Andorra,Europe,40328,52194.396,304,393.451,304,153,198.02,0,0,0
Guam,Western Pacific,39925,23655.755,132,78.211,0,352,208.562,8,4.74,2
Burundi,Africa,38609,324.697,100,0.841,0,15,0.126,0,0,0
Bhutan,South-East Asia,37049,4801.531,8948,1159.656,1612,12,1.555,2,0.259,0
Togo,Africa,36950,446.325,11,0.133,0,272,3.286,0,0,0
Mayotte,Africa,36891,13522.35,52,19.061,0,187,68.545,0,0,0
Guinea,Africa,36459,277.618,0,0,0,440,3.35,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Aruba,Americas,34089,31928.704,123,115.205,0,212,198.565,0,0,0
United Republic of Tanzania,Africa,33815,56.609,0,0,0,800,1.339,0,0,0
Bahamas,Americas,33315,8471.839,37,9.409,1,788,200.384,0,0,0
Lesotho,Africa,32910,1536.236,11,0.513,0,697,32.536,0,0,0
Haiti,Americas,30575,268.142,12,0.105,0,833,7.305,0,0,0
Mali,Africa,30520,150.71,39,0.193,13,728,3.595,1,0.005,0
Isle of Man,Europe,30169,35479.584,1581,1859.3,1279,87,102.314,5,5.88,3
Benin,Africa,26595,219.373,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26471,166.555,61,0.384,0,1361,8.563,0,0,0
Congo,Africa,24079,436.365,8,0.145,0,385,6.977,0,0,0
Saint Lucia,Americas,22977,12512.866,30,16.337,9,365,198.773,0,0,0
Timor-Leste,South-East Asia,22842,1732.495,11,0.834,6,130,9.86,0,0,0
Guernsey,Europe,22257,34524.105,0,0,0,36,55.842,0,0,0
Burkina Faso,Africa,20858,99.783,45,0.215,0,382,1.827,3,0.014,0
Cayman Islands,Americas,20606,31354.23,0,0,0,25,38.04,1,1.522,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17321,154.738,71,0.634,10,138,1.233,0,0,0
Gibraltar,Europe,17203,51061.114,349,1035.885,83,101,299.783,0,0,0
Liechtenstein,Europe,16583,42798.152,203,523.912,0,82,211.629,0,0,0
Equatorial Guinea,Africa,16001,1140.497,1,0.071,0,183,13.044,0,0,0
United States Virgin Islands,Americas,15708,15042.375,72,68.949,0,111,106.296,0,0,0
Djibouti,Eastern Mediterranean,15591,1578.036,6,0.607,0,189,19.13,0,0,0
San Marino,Europe,15581,45910.189,235,692.439,43,114,335.907,1,2.947,0
Central African Republic,Africa,14339,296.888,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,14306,215.954,37,0.559,0,231,3.487,1,0.015,0
Grenada,Americas,14024,12463.23,26,23.106,0,218,193.738,0,0,0
Bermuda,Americas,12679,20360.349,206,330.801,115,129,207.152,2,3.212,1
Gambia,Africa,11990,496.138,2,0.083,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Dominica,Americas,11897,16525.677,58,80.566,0,63,87.511,0,0,0
Solomon Islands,Western Pacific,11856,1726.056,682,99.289,0,134,19.508,1,0.146,1
Yemen,Eastern Mediterranean,11812,39.603,7,0.023,0,2144,7.188,1,0.003,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11158,19386,93,161.579,0,33,57.334,0,0,0
Monaco,Europe,11019,28078.178,298,759.352,76,54,137.601,0,0,0
Saint Martin,Americas,10069,26045.681,81,209.524,0,44,113.816,0,0,0
Sint Maarten,Americas,9787,22823.096,89,207.546,0,86,200.55,0,0,0
Eritrea,Africa,9728,274.305,0,0,0,103,2.904,0,0,0
Niger,Africa,8822,36.445,21,0.087,6,308,1.272,0,0,0
Saint Vincent and the Grenadines,Americas,8339,7516.676,4,3.606,1,106,95.547,0,0,0
Guinea-Bissau,Africa,8161,414.685,12,0.61,10,170,8.638,0,0,0
Comoros,Africa,8093,930.657,7,0.805,0,160,18.399,0,0,0
Sierra Leone,Africa,7675,96.214,1,0.013,0,125,1.567,0,0,0
Bonaire,Americas,7663,36638.776,472,2256.754,0,28,133.875,0,0,0
Tonga,Western Pacific,7528,7122.38,1105,1045.461,143,9,8.515,3,2.838,0
Antigua and Barbuda,Americas,7493,7651.462,2,2.042,0,135,137.855,0,0,0
Liberia,Africa,7400,146.312,0,0,0,294,5.813,0,0,0
Chad,Africa,7349,44.74,39,0.237,0,192,1.169,1,0.006,0
British Virgin Islands,Americas,6155,20355.855,14,46.301,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5948,2714.011,3,1.369,0,73,33.309,0,0,0
Turks and Caicos Islands,Americas,5923,15297.794,13,33.576,13,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5551,10435.78,2,3.76,1,43,80.839,0,0,0
American Samoa,Western Pacific,5018,9091.074,1201,2175.843,253,8,14.494,4,7.247,1
Vanuatu,Western Pacific,4720,1536.733,1661,540.787,276,3,0.977,1,0.326,1
Palau,Western Pacific,4070,22496.131,46,254.256,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4069,41163.379,186,1881.639,0,4,40.465,0,0,0
Kiribati,Western Pacific,3068,2568.46,3,2.512,1,13,10.883,0,0,0
Samoa,Western Pacific,3057,1540.718,1344,677.372,435,3,1.512,3,1.512,1
Cook Islands,Western Pacific,2875,16368.709,992,5647.916,349,0,0,0,0,0
Anguilla,Americas,2717,18110.919,17,113.318,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,2236,38584.987,306,5280.414,0,1,17.256,0,0,0
Sint Eustatius,Americas,851,27110.545,129,4109.589,0,5,159.286,2,63.715,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Saba,Americas,369,19089.498,93,4811.174,0,0,0,0,0,0
Montserrat,Americas,175,3500.7,0,0,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,125,3588.86,2,57.422,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,7,432.633,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,3,27.691,1,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
